Text,Rating
"Uh, just a much needed win. Uh, we played a hell of a game against the Lakers, one of the best teams in the league right now, uh, we took that same energy and that same determination and brought it here tonight, uh we were down big earlier in the game and that first half, came back in the fourth quarter and just played our game and, just let things happen, and, came out with a great win. I mean for me I know uh, somebody was trying to be a hero, so whoever had the ball, I knew they weren't gonna make their pocket pass to Tristan Thompson, so I just stepped up and helped our guard out, got one block, and then uh, great contest on uh, Sexton at the end of the game. Man, you know, Sekou looks outstanding, he's playing great, playing great, putting a lot of confidence, he's playing smart, and he's learning each and every game too so, really really proud of him. I was - I was excited. I was definitely definitely excited. That was a hell of a dunk by him, definitely, early in his career to have one of those highlight plays too, so I'm sure it'll be something that he'll remember. Uh, definitely you know, he was one of our - one of our leaders on our team, you know, we're gonna miss him, not even just as a player, but as a person having him around, so whenever he gets back we're looking forward to seeing him and uh hopefully the surgery goes well and he comes back healthy. Thank you.",2
"I love it here in Detroit, so, I have no, I have no problems. I love it here so I can't control what happens when it comes to that aspect of, you know, the situation. No. Hell no. Nothing like that happens to me during the game. I just was having a rough start, came out of here at half time, had a better mindset, and just played well. I'm not a quitter. That's for one, uh, I was never brought up to be a quitter, so if I start somewhere I finish there, and try to complete the mission, which is winning a championship here so, it'll never be me that wants to go anywhere, so we can - we can write that down. So uh, I love being here - I would love to play here the rest of my career, um, just staying the course, that's really it. I mean I've been dealing with this since the year I signed my contract, so trade rumors will always come around, it's just another year for me. It's always that time of the year around January, where the trade talks come, uh, nothing's happened, I mean obviously the talks have started so, these questions will start to come so, I've been looking forward to them coming, but for me, I'm just gonna continue to play - play the game I play, play here in Detroit, where I love to be, and whatever happens happens. Uh, I mean it wasn't really much to talk about, just said, you know, it's that time of the year again, um, it's nothing that's eminent, it's not like they're about to move me tomorrow, I mean obviously they're listening. Uh, but I think I'm fine where I'm at He's playing great. He's playing with a lot of confidence, uh, I talk to him consistently on the court, so I'm tryna keep him going while he's in the game, cause he does get a little lost sometimes, but he's very good listener, hell of an athlete, and a great defender as well too, so uh, two double doubles in his - his two starts, so, looking forward continuing to play with him and, his growth has been great. Yes, great company to be in. No. I mean he's a tough kid, I mean, he's been playing professionally for a long time already so he's already had - he already has the toughness, it's more of him just learning the game, and just learning the players around this league, and learning how to defend them, so I think he's doing a great job and he's playing to the best of his - best of his ability, excuse me. Just the pace of the game, I mean obviously Derrick is really good at pushing the pace and, you know, getting guys going early, and you know he finds his shots uh, relatively easy too, when he comes of the pick and roll, so, he makes it easy for all of us when he plays that way.",1
"It's another night in the office man. I'm just trying to - trying to play the best basketball I could play, trying to put my team in a good position to win, and uh just have fun while I do it. Naw man, you know I can't control none of that stuff so I just come out here and play to the best of my ability, whatever happens happens, if it does I mean, ain't nothing I can do, I can't control it, so I'm just gonna play as hard as I can. I mean it's always fun when we come out and play like this man. We played a hell of a game, everybody played tough on both ends of the court, and uh - , you know we play like that every night, you know, anything can happen for us. Definitely. It's good to have him back, um I know he's trying to find his legs right now and uh, it'll come in time. He's a good basketball player man. Hell of a roller, hell of a defender, uh, he - he plays hard man, he plays really hard, he keeps playing like that, anything can happen for him. Uh, he looks like he's a great learner as well too, so I know the coaching staff over there's gonna take care of him, and uh, I love him as a big. No worries.",2
"Uh, I thought it was a joke. I thought it was a joke at first, but uh, you know, obviously when it all settles in I - truly excited to be somewhere where I'm wanted, uh I'm really happy to start a new chapter here, and uh, just looking forward to being with the guys. You know for me I'm just looking forward to playing the Cleveland Cavalier jersey, uh I'm excited to be here, you know, everything happens for a reason, so I look at the bright - as it a bright - as a bright note for me and my family to start somewhere new and uh, be with a great group of guys. I make myself very dominant in my position, so it makes it hard not to - not to wanna be around it, so for me I just uh, play as hard as I can, try to put my team in a good position to win, and uh, I think I can do that here. I mean we're here so that means we're appreciated by somebody so I - I wouldn't say we're underappreciated, I think we're here for a reason, and uh, they wanna see it for a reason as well too. Definitely with the guards, the young guards, I'm definitely looking forward to working with them, and uh, shedding some insight both on offense and defense as well too, getting uh, getting some film on them today too so I can sit down and really watch how they play, so I know what I'm working with but, I think I can really hep them out. Absolutely, just a - that's a back line defense you know uh, definitely communication's gonna be huge with them, I know they're young and they're still learning, but if I can help them get past that curve a little bit earlier, I think we'll be very good. For what? I mean, I think for me - I think for me, it'd be pretty - pretty easy, I'm very bright, so it won't take me very long to get adjusted to the system, uh I've played against the Cavs a handful of times, I know what they do, what they run, uh so it's just really getting acclimated to the team and I think anything - anything could happen. I think our - I'm excited to be here, very excited to be here, and I'm looking forward to playing with this young team and we have a great core here as well. Yeah, so Kevin and I have a great relationship, we're in the same agency as well too so, the relationship was already there even if I would've been playing against each other so, when the trade came through, you know, he was the first person to call me and uh, truly was ecstatic to have me here cause uh, we both were talking about, you know we didn't know what was gonna happen during the trade deadline, so to be here with him, uh knowing somebody that I've had a relationship for a long time is great. He's a great shooter, great passer, and I think I can help him very - a lot in both ends of the court as well too, help - you know, lessen the load on him. I mean I won't - I'm not taking anybody's job, I'm just here to play, I mean I didn't come here expecting anything, uh I'm just here to do my job, whatever they need me to do, you know I'll - I'll get it done, so if it's being a starter, coming off the bench, you know whatever they need for me to help this team be successful, I'll do it. Yeah, the game is changing, so obviously the shooting will come later in my career, but as of now, I'm very efficient with handling the ball and making plays, uh, in the open court with the dribble hand off and uh, the pick and roll game as well too, and able to spread out for the three point shot so, I think working on that part of my game is really been beneficial for me, and uh the next step is taking a wide open three. You know for me, just coming to an organization that wants me to be here. You know that's really all it boils down to is, my excitement is - is genuine, I'm really happy to be here, I mean obviously despite the record it doesn't phase me, I know I can do a lot of things here to help us improve and get ready for the next season. Correct. Yeah. Yeah, I - I spoke to Blake, you know immediately after I talked to Reggie, you know guys that have been traded before and, you know, they gave me different insights on what I should do, and how I should approach it, and it's - it's really worked, you know obviously I'm just excited to be here - today was a great day of practice, I've learned a lot, and I'm looking forward to playing tomorrow. That's for me to know. No - It doesn't - It doesn't phase me, um, cause I see a bright future here in Cleveland, you know, the young guys here are really really good, and uh, just with the addition of myself and having Kevin be healthy, I think we could do really really - we could do special things here. Man I just got here man, I haven't even unpacked the bag yet, I haven't thought - I haven't thought - I haven't thought about anything you know, as of right now I'm a Cleveland Cavalier and I'm just excited to be here. No - no. My main focus is getting here and getting adjusted as quick as possible. Yeah, I'm not - I can't think about that now, I mean I - I have to control what I control, I have thirty games here left, you know, play to the best of my ability, help us get in a good situation, and win as many games as possible, and whatever happens in the summer time, we'll take care of it then. Yeah, since I was sixteen I've known Koby [inaudible] fifteen years old I've known Kobe, so [inaudible] Absolutely, you know he called me - he called me as well too, and just uh, just that connection between USA basketball just - everything we've been through from sixteen to I'm twenty six now, and just having that relationship still and to play under his leadership now is awesome. Yeah. He was like - he was like the ball kid for - for - like for U - USA basketball and like look at him now, you know, he's a - he's a general manager for the Cleveland Cavaliers which is incredible for him. No. No, it was actually pretty scary landing, but obviously I'm safe and I'm here now, but it was definitely uh a rocky flight. Just play to the best of my ability, learn the system, uh, find ways to help get our guards better, uh find ways to just help this team, you know, get out of this rut, and you know, put us in a good situation to have a successful offseason and do something special next year. Just - I think I'm a bring the toughness, I think I'm gonna really on that apsect on both ends of the court, and uh, I think we'll be fine. I think uh, I know a lot of things that I can share with them and I know they know a lot of things to share with me as well too, so it'll be a - be a good dialogue. Oh, we already know - we already know that's gonna go down [inaudible]. No, the numbers don't lie, so they ain't gonna be fighting in - they gonna be very much fighting.",1
"It was fun, I was excited uh, we're gonna be - I think we're gonna be a really good team, uh we just have to work out some kinks, obviously it's my first game here, we had no practice time, uh so it's expected for us to look, you know, lost, obviously, cause we're trying to figure out plays, I didn't really know many plays yet, uh defensively we're still trying to figure eachother out on, you know, where we need to be but, I think with this break coming up, I think it's gonna be good for us to be able to get some practice time in and really learn eachother. Not at all. I think it's patince. I think uh, patience is key for our guards, I know they, you know they get - they get ahead of themself sometimes too and they get scored on and they try to come back and try to do it - do it right back to the same person, but I think if we slow the game down and, you know, take our time and figure out what we need to do on both ends of the court we'll be fine. Uh, defensively I think we'll be okay, I think this is for me to learn where I need to be on the court to, you know, help our guards get back in front, offensively it's just taking our time. I've been working on it for eight straight years. This the first team to let me use it, so - so uh Yeah, so, it's uh, you know something I'll be using more, more and more, uh I had the green light to shoot it, obviously, within rhythm, not just taking it off the bounce and shooting if I'm open, you know, take the shot, so. It's something I've worked on, so I feel comfortable taking it. You know, my mind was at ease actually. You know, you you would think I'd - I didn't have any jitters, you know, I - I think the home fan - like the fan base here did a really good job of welcoming me as well to making me feel comfortable while I was here, just, being in the street, you know, going to restaurants and just seeing people, and just how excite - how excited they are to have me here and just, you know my positive energy just being in the locker room, just trying to help our team get to a good situation. It was weird cause uh, he didn't recruit me in college so I made fun of him all the time for that. So uh, definitely definitely have a good relationship with coach Beilein uh, watched him while he was at school, he's a hell of a coach, uh he's doing a great job here obviously, you know, it's his first couple of months here so, it's gonna take some time for him to get adjusted, he still needs to learn - learn the game, it's a big transition from the college to the NBA, so I think once he learns the game and learns what it takes to - to win, I think we'll be great. Absolutely. I mean obviously we're - we're not looking at the scoreboard, I - I said it when I first got here in the locker room, I said, you know, I don't - and I said it to the media as well, I don't care about the record, I don't care about the scoreboard, I just care about did we get better today? Uh, obviously we're not gonna win every game the rest of the way out, but our goal is to try to win some games. We're not gonna sit on and allow teams to just blow us out, we're gonna play to the best of our ability each and every night, um, my goal is to push these guys and keep them positive and, you know, just continue to work hard and show no fight - I mean show no quit I mean, excuse me. Yeah I think the team, they really just asked me to speak up, I mean - I mean, whatever I see, you know, they tell me to say it, you know I don't really intend to step on anybody's toes or try to come and take anybody's shine or anything like that but, if somebody asks a question I do do a really good job of just, responding back and giving them my insight on what I think, uh, been on a winning team and I haven't won a championship - Kevin Love and Tristan have, but, you know, I know what it's like to win, so guys that are come in, like, you know, KP and, you know, Garland and Sexton, you know when they ask me questions, I take the time to really sit down and talk to them. I spent a lot of time today with them at the shoot around as well too. Just the grit, I mean, they're - they're tough guards and they're - they're smart, I think it's just giving them some time to learn the game and then once - once they do it, it's gonna be very scary, cause they're very athletic, they're smart, they're crafty, so, when it's used the right way, it can be very dangerous. You know for me I'm a Cleveland Cavalier now, so I can't really control what happened then, uh, happy to be here, uh, excited that I got to play my first game in a Cavalier jersey and I'm looking forward to playing again on Wednesday. It was - it was fun, it was fun, you know, playing with Kevin was great, just having a guy that can shoot the ball very well, uh consistently off the dribble hand off, when I pitched it back to him he was knocking them down, so that's gonna be a threat to use throughout the rest of the way. I mean, I think I've watched a total of eight hours of film on this entire team in the past two days, so I think I know quite a bit about this team right now, so I've taken the time to really learn these guys, you know, I watched a hundred clips on KP, Garland, and Sexton, on - on their drives, how they handle pick and rolls, so, I know everything I need to know about them, you know, with the bigs I've watched everything on them too, so this is like a time for me to really take, you know, I'm - I'm taking the time to really learn these guys, [inaudible] come here, you know hanging my head, I'm here with a positive attitude and trying to instill that in everybody else. Yeah, it's new, it's new so, you know, we have some time to practice the next couple of days, we have two days of practice before our next game, and, we'll figure it out from there. For - Yeah, for them, I just tell them to keep coming on the pick and rolls, like you know, when we set a pick and roll, just like - I tell them not to just die on the screens, just keep coming, and you know, corral them and I'll do my best to keep them in front and give them enough time to get back in front of the guard. For what? Um, again, you know, I'm playing for Cleveland, I can't, you know, really answer that question. You know, if I'm here in Cleveland, I'm playing to the best of my ability, I'm having fun while I'm out there with the guys, I'm really happy to be here, and uh, you know that's really all it boils down to. Yeah, so you know, again, you know, the film session I've - I watched in my hotel room, I watched - I was watching film all day today in the hotel and uh, you know I pulled all thre of those guards together, KP, Sexton, and Garland, and I told them what I saw when I watched film and I just gave them different pointers throughout the game - if you - if you watch closely, they got a lot - a lot more open today too, cause I was telling them how to come off of pick and roll to get their shot.",2
"I feel good. I'm starting to learn the guys a lot more, um, we're having more fun. You know just where guys like to be on the floor, they're giving me the ball a lot to make decisions, so I'm trying to see where guys like to cut, where they like it in their shooting pockets and uh, on the break where they want to catch the ball. That's a little ways from now, right now I'm worried about being a Cavalier and trying to get our team to be the best that we can be, and uh, just have fun while I do it. Yeah, I've been - I've been a part of USA basketball for a really long time, so uh, just to have my name be called again is - is pretty cool. You know I'm just gonna go with the flow, and uh, just whatever happens happens to me. I'm not looking to force anything, I'm just trying to get acclimated and be as comfortable as I can with my teammates. Yeah, I mean the spirits were really high today in practice, uh everybody came in with good energy so I think uh, last - you know last night was a game we couldn't control, it was our first game together, a lot of excitement, lot of jitters going along with - you know with me being here, so I think tomorrow's game will be a lot better for us. Yeah, I mean that's something I do all - I do all the time, just watch film a lot, the guys I play with, other team obviously but, you know I got a chance to sit down with some of the guards today, tell them some stuff that I saw again from the game and it worked today in practice with the stuff that we worked on. You know I said - I said it uh last night after the game, I said you know I'm not here to just play, I'm here to get better, I'm here to make you guys better, I'm here to try to win some games, I mean we're not gonna sit here and be complacent with being thirteen and fourty. I'm trying to string together some wins and give the city some hope. Yeah, last year - last year, we did that uh with - with Detroit, you know we were - we were down right before All Star break, came back and made it to the eigth seed.",2
"Disappointed, you know like you said we had four days off you know there are the back-to-back but you would think is the other way around. You know if you watch, you know, the game you know they play harder than us. They got more you know lose balls you know. They wanted it more you know. That's the end result of it. For sure it's not easy to win you know in this league so every loss we take, you know especially consecutively, you know we're losing eight in a row you know so you know can get worse so we can get better you know it's gonna be on us to change it around. Yeah, we been going hard in practice, you know practice has been good, you know. [inaudible] translates into this game. Kind of both because we know how bad we needed this game. You know we're just digging ourselves you know a deeper hole, you know, and we knew coming in this game that they needed it also you know so it's gonna be a battle, it's gonna be a fight. It's not hard to keep faith, you know just the adversity, you know that's it. We know we can win this way because we did. You know we beat some good teams so just got to stay with it. You just got taken it ourselves like you know we know we are on a back to back we have four days off you know there's no excuse to let them you know outwork us. There's little things like that.",0
"They got a lot of guards that can you know, take it to the basket and create. You know, Steven Adams, the big boy in paint you know. So all the rebounds, tip-in's, you know, he creates extra possessions for them. To be honest, I don't even know. Not to sure, you know I guess I couldn't figure it out. Oh, for sure you know he made it interesting game. You know he came in, gave us great minutes, knocked down some big shots making big plays for us. He's tough, you know, he's very tough. You know he's a you know big guard that can join the floor, create for others and you know, he's a bucket. You know, he can get a bucket when he needs to. Yeah you know every time I drive I see, you know, a lot of defenders and you know the lane and getting to the lane is pretty much clogged up. Naw they've been physical from the beginning of the year. You know, that's not the problem. You know, I just need to adjust to you know how, defenses are playing me.",1
"I felt good, you know, I felt great early. I feel like everyone you know the pace, you know we're playing at or creating it for each other and I feel like in the first half we knock down a lot of shots For sure, for sure. You know it's always been a goal of mine so you know get it done. Hopefully there's more to come now. I feel like they adjusted you know they adjusted well and they came off a bang. You know and I feel like that little stretch in the fourth and you know kinda setting the lead and it was hard to come back from that. I can't really tell. You know like every team that plays us, every team is you know physical you know so I can't really tell. As long as everyone is in a good rhythm you know I'm good you know I feel like everyone should get a chance to touch the ball but that's what's gonna hit shots and be in their rhythm you know but I do feel good, you know with the ball in my hand, you know I feel like I worked hard to you know make the right decision and if I don't then there make the right decision next time. You know so it feels good Never really got chance you know talk to, too much of the guys, but you know I've got great respect for Coach Nurse and I plan I having a conversation with him, you know eventually, yeah. I'm not sure you know we're in a race right now, you know my team is struggling a little bit so we just got to get back, and you know try and get in a playoff run, you know. That is my main, my main you know goal right now and after that and I'm a you know really decide on the Canada basketball stuff. Yeah, I follow them, I follow them. You know a lot of talent, a lot of talent. RJ is doing his thing this year Shai he's out having an amazing year you know he came in here had a career night. Lot a lot of young guys you know are coming in and doing thing. For sure, for sure. You know, the futures bright for all of them. Yeah, it's nice you know I'm close to home. Having KAT back is amazing, you know it makes the game easier for everyone playing you know and I feel like, you know, I feel like he was still in rhythm, you know I feel like tonight was kind of a tough night for everybody, and he played good in Indiana game but tonight was tough for everybody. You know so hopefully we'll get it back next game. It's a lot, you know, I worked hard a lot this summer, really hard you know. Shooting, ball handling, play making, finishing you know everything, you know and I'm gonna keep working. You know, keep, keep getting better. I have a lot of room to grow so I'm gonna keep at it. He's been playing great. You know he, Jarrett Culver is in a great great rhythm right now and I know it's gonna keep it up. You know his confidence is through the roof and when you're a rookie that's good. You know he's out there scoring, defending, making plays on both sides of the floor and you know so that's what we need from him.",3
"Well, getting off the plane when I got off I got a chance to come to the facility you know and check everything out and just leading up to the game I was just anxious and excited you know I know the crowd here is crazy the the energy here is you know amazing you know the culture is amazing so I'm just excited to be part of it For sure you know I met with them earlier and he was just like ""compete and just run the floor,"" you know that those are the main things you know and just hearing those words is making easier on me you know I'll have to come here and try and do a lot or nothing like that so I just felt there in the court at the game come to me the whole team we're all not selfish and I moved the ball and competed you know that's the most important thing Great team, a great team. I'm joining a championship team championship culture you know so I'm happy to be a part of it. I'm just playing with those guys I know the whole floor be you know open you know be not my best thing is attacking the basket you know and it's gonna be kind of hard to help if you have you know have Steph and Klay but just the way they're unselfish you know their their leadership, even Draymond, their leadership. I'm looking forward to it. I learned a lot in Minnesota you know not really no particular or specific, you know, thing I can think of right now but I've learned a lot you know over my you know five and a half years you know, just competing how to be a professional; certain things like that. I feel like you know everyone is entitled to their own opinion you know. It is what it is. I feel like when you're losing you know there's gonna be a little dark shadow over you but I'm here now you know this is a winning culture you know a winning team so hopefully people couldn't you know take a different view and you know it's watch us ball. Everything really you know just the way you know their approach, their practice facility, the arena everything amazing we know the culture around the locker room, you know the positivity the energy all of it. Like you said I lived my whole life from the cold you know so I'm very excited you know my girlfriend's excited my daughter she doesn't know yet but she's gonna be excited so it'll be a good time Yeah you know I was just like you know if it happens it happens. It's gonna be a blessing. You know either way and the news broke you know excited you know excited for both sides yeah that's basically it. Yeah, well I'm not really, I'm not really worried too much you know about you know the outside world and people talking. You know my job is just to go on the court you know hoop, play basketball you know so when everyone's talking rumors about me getting traded or anything I just play basketball and if happens it happens. You know it's happened that's God's plan. And you know, just leading up to it, I just well I woke up and then my coach, coach Ryan [inaudible] they call me and let me know. It's important you know I've been part of a, you know we lost a lot you know in Minnesota so coming here being part of a winning team winning culture it's different. You know losing is never fun you know and this being here and you can tell by everyone's attitude everyone's approach you know everything is, is everywhere you know that you know they're winners you know and that's something I want to be I wanted to be my whole career and I'm here so I'm happy. yeah you know this whole thing didn't really feel real totally you know that's my name and they're just like whoa you know I'm here you know just seeing the crowd and you know just seeing that weren't excited for me and you know just embracing them on their own I know it's a great feeling. Yeah. You know I believe in myself and you know that at the end of the day it's basketball you know you prepare for this moment your preparation is gonna prepare you for you know at any moment on the court. You know I feel like I was mentally ready and prepared to you know go out there and you know play good basketball.",2
